,Unnamed: 0,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
10,49,27.0,Madison,53706,16.0,36113.0,WI,46,3.8,3.8,34782,3.9,University of Wisconsin--Madison,public,University of Wisconsin-Madison,1,3,0.5381,29930.0,0.7318,0.0211,0.0521,0.0599,0.002,0.001,0.0328,0.0913,0.008,0.0458,25121.0,10533.0,34783.0,13132.0,15349.0,11908.0,0.8203,19880.0,1916.0,1361.0
11,50,30.0,Villanova,19085,44.0,35459.0,PA,46,3.7,3.2,51434,2.5,Villanova University,private,Villanova University,1,2,0.36,6886.0,0.7427,0.0504,0.0764,0.0648,0.0007,0.0,0.0254,0.0196,0.02,0.053,65640.0,51284.0,51284.0,28406.0,15510.0,11048.0,0.6536,41849.0,810.0,1409.0
14,53,27.0,Columbus,43210,9.0,37032.0,OH,54,3.5465020576131687,3.8,29659,3.5,Ohio State University--Columbus,public,Ohio State University-Main Campus,6,3,0.4806,44853.0,0.6857,0.0574,0.0412,0.0673,0.001,0.0006,0.0339,0.0802,0.0327,0.0675,25471.0,10592.0,29696.0,15068.0,18302.0,12153.0,0.6516,17699.0,2735.0,1359.0
15,54,26.0,Athens,30602,13.0,30943.0,GA,54,4.0,3.6,30392,2.3,University of Georgia,public,University of Georgia,1,5,0.5401,28740.0,0.6929,0.0784,0.0611,0.1029,0.001,0.0008,0.038,0.0159,0.009,0.0585,26022.0,11818.0,30392.0,12088.0,9779.0,11126.0,0.9076,14625.0,2084.0,1316.0
16,57,26.0,Storrs,6269,33.0,37427.0,CT,56,3.5465020576131687,3.2,36948,2.9,University of Connecticut,public,University of Connecticut,5,1,0.4784,18930.0,0.5855,0.0594,0.1001,0.111,0.0013,0.0007,0.0307,0.0797,0.0316,0.0257,29803.0,14880.0,36948.0,14073.0,22283.0,11972.0,0.6784,20681.0,1506.0,1313.0
17,58,26.0,Austin,78712,7.0,40558.0,TX,56,3.5465020576131687,4.3,35766,4.1,University of Texas--Austin,public,The University of Texas at Austin,1,6,0.3649,39965.0,0.4149,0.0405,0.2307,0.2132,0.0015,0.0014,0.0366,0.0524,0.0089,0.0614,24933.0,10398.0,36744.0,10026.0,18022.0,12476.0,0.8405,16960.0,3614.0,1359.0
18,61,27.0,New York,10023,35.27972027972028,33920.86713286713,NY,61,3.6,3.1,50601,2.806829268292683,Fordham University,private,Fordham University,1,2,0.4644,9403.0,0.5815,0.0382,0.143,0.099,0.001,0.0012,0.034,0.0844,0.0177,0.0364,65105.0,50986.0,50986.0,27045.0,13924.0,13551.0,1.0,35694.0,1263.0,1337.0
20,63,25.0,Syracuse,13244,48.0,33912.0,NY,61,3.6,3.3,46755,2.6,Syracuse University,private,Syracuse University,1,2,0.4688,14788.0,0.5692,0.0731,0.0958,0.0694,0.0057,0.0007,0.0316,0.1277,0.0268,0.0299,63195.0,46755.0,46755.0,24490.0,17059.0,11299.0,0.677,34173.0,1838.0,1277.0
21,64,28.0,College Park,20742,20.0,36786.0,MD,61,4.0,3.7,33606,3.6,University of Maryland--College Park,public,University of Maryland-College Park,1,2,0.445,29273.0,0.5039,0.125,0.0969,0.1696,0.001,0.0009,0.0425,0.0469,0.0133,0.0593,25701.0,10399.0,33606.0,14270.0,14948.0,13017.0,0.7781,18517.0,1301.0,1396.0
22,65,28.0,Worcester,1609,62.0,39995.0,MA,61,3.8,2.6,48628,2.9,Worcester Polytechnic Institute,private,Worcester Polytechnic Institute,1,1,0.4849,4337.0,0.635,0.0293,0.0932,0.033,0.0044,0.0,0.0203,0.1093,0.0756,0.0214,62522.0,48628.0,48628.0,26622.0,19378.0,11971.0,0.8416,40376.0,659.0,1200.0
23,66,26.0,Clemson,29634,7.0,38923.0,SC,67,4.0,3.0,35654,3.0,Clemson University,public,Clemson University,1,5,0.4718,19172.0,0.831,0.066,0.0377,0.0237,0.002,0.0003,0.0294,0.0071,0.0028,0.0301,28545.0,15116.0,36058.0,16723.0,13049.0,10255.0,0.9158,17696.0,1195.0,1338.0
24,67,27.0,Pittsburgh,15260,35.27972027972028,33920.86713286713,PA,68,4.0,3.5,30642,3.1,University of Pittsburgh,public,University of Pittsburgh-Pittsburgh Campus,5,2,0.5971,19134.0,0.7176,0.051,0.0369,0.0998,0.0007,0.0004,0.0413,0.0411,0.0111,0.0409,32633.0,19080.0,30642.0,17855.0,18033.0,10721.0,0.7528,28331.0,1479.0,1349.0
25,68,26.0,Washington,20016,46.0,36076.0,DC,69,3.7,2.9,46615,2.806829268292683,American University,private,American University,1,2,0.294,7433.0,0.5668,0.0712,0.1363,0.0718,0.0009,0.0004,0.0444,0.0788,0.0293,0.0355,62162.0,46615.0,46615.0,31517.0,14556.0,11620.0,0.5687,36567.0,1097.0,1294.0
27,70,29.0,Hoboken,7030,40.0,51810.0,NJ,69,3.8,2.5,50554,2.7,Stevens Institute of Technology,private,Stevens Institute of Technology,1,2,0.4388,3114.0,0.6718,0.0193,0.1047,0.1233,0.0013,0.0,0.0,0.0405,0.0392,0.0003,64255.0,50554.0,50554.0,25070.0,11749.0,12940.0,1.0,36620.0,506.0,1410.0
28,71,24.0,College Station,77843,41.0,26376.0,TX,69,3.5465020576131687,3.5,30208,3.9,Texas A&M University--College Station,public,Texas A & M University-College Station,2,6,0.7054,52568.0,0.6197,0.03,0.2327,0.0694,0.0026,0.001,0.0312,0.0119,0.0015,0.1137,28143.0,11234.0,36606.0,10587.0,15761.0,11165.0,0.8521,20282.0,3602.0,1277.0
30,73,23.02405498281787,Blacksburg,24061,35.27972027972028,33920.86713286713,VA,69,3.9,3.2,29371,3.9,Virginia Tech,public,Virginia Polytechnic Institute and State University,1,5,0.7006,27120.0,0.6603,0.0401,0.0603,0.0983,0.0014,0.0012,0.0446,0.0645,0.0294,0.0208,25762.0,13230.0,31014.0,13777.0,12599.0,11374.0,0.984,20343.0,1948.0,1284.0
31,74,26.0,Waco,76798,53.0,36761.0,TX,75,3.5465020576131687,3.1,43790,2.4,Baylor University,private,Baylor University,1,6,0.3895,14284.0,0.6342,0.0631,0.1526,0.0627,0.0043,0.0003,0.0471,0.0329,0.0029,0.0139,59063.0,43790.0,43790.0,23397.0,15390.0,9717.0,0.7877,34898.0,1970.0,1320.0
35,78,25.0,Fort Worth,76129,35.0,33953.0,TX,78,3.5465020576131687,3.0,44760,2.9,Texas Christian University,private,Texas Christian University,1,6,0.4108,8983.0,0.7068,0.0544,0.1348,0.0315,0.0082,0.0022,0.004,0.0454,0.0126,0.0285,60135.0,44760.0,44760.0,26486.0,16985.0,11372.0,0.9761,35429.0,673.0,1285.0
36,79,23.0,Iowa City,52242,34.0,32794.0,IA,78,3.6,3.5,28813,2.9,University of Iowa,public,University of Iowa,1,4,0.8604,23349.0,0.7133,0.0334,0.076,0.0403,0.0018,0.0009,0.0313,0.0859,0.0173,0.0972,21875.0,8965.0,30609.0,13700.0,13779.0,11124.0,0.8493,15103.0,1855.0,1232.0
38,82,24.0,East Lansing,48824,5.0,47279.0,MI,81,3.7,3.6,39405,3.1,Michigan State University,public,Michigan State University,1,3,0.7155,38770.0,0.6749,0.0732,0.0437,0.0524,0.0019,0.0008,0.0309,0.1151,0.007,0.0908,27006.0,14460.0,39406.0,18994.0,16849.0,11705.0,0.8689,18576.0,3209.0,1220.0
39,83,27.0,Raleigh,27695,41.0,25623.0,NC,81,3.7,2.9,27406,3.4,North Carolina State University--Raleigh,public,North Carolina State University at Raleigh,1,5,0.5136,22801.0,0.7111,0.0592,0.0521,0.0636,0.0039,0.0007,0.0387,0.0451,0.0256,0.0685,22844.0,9058.0,27406.0,10308.0,16772.0,10808.0,0.8794,15024.0,1752.0,1331.0
40,84,23.0,Santa Cruz,95064,18.0,47616.0,CA,81,3.7,2.8343347639484984,42042,2.5,University of California--Santa Cruz,public,University of California-Santa Cruz,1,8,0.5094,17577.0,0.3143,0.019,0.2839,0.2215,0.001,0.0019,0.0798,0.062,0.0166,0.0282,35315.0,14020.0,42034.0,13640.0,10264.0,13899.0,0.7429,17884.0,2191.0,1287.0
41,85,23.0,Newark,19716,35.27972027972028,33920.86713286713,DE,81,3.7,3.0,32250,3.0,University of Delaware,public,University of Delaware,1,2,0.6289,18948.0,0.718,0.0563,0.081,0.0508,0.0015,0.0006,0.0313,0.0467,0.0138,0.041,25210.0,13160.0,33150.0,19072.0,18900.0,12616.0,0.977,16892.0,966.0,1250.0
42,86,28.0,Binghamton,13902,54.0,29356.0,NY,87,3.7,2.7,24403,2.3,Binghamton University--SUNY,public,Binghamton University,1,2,0.4036,13702.0,0.5744,0.0521,0.1125,0.1398,0.0007,0.0007,0.0214,0.0823,0.0162,0.0262,24725.0,9523.0,24403.0,8520.0,12671.0,9258.0,0.7066,18378.0,1289.0,1365.0
43,89,24.0,Bloomington,47405,16.0,37563.0,IN,90,3.7,4.1,34845,2.806829268292683,Indiana University--Bloomington,public,Indiana University-Bloomington,1,3,0.7601,33104.0,0.696,0.0447,0.0601,0.052,0.001,0.0002,0.0395,0.1039,0.0026,0.0299,24739.0,10533.0,34845.0,17398.0,14714.0,10390.0,0.8671,14351.0,2545.0,1285.0
45,91,25.0,Boulder,80309,12.0,41125.0,CO,90,3.7,3.5,35079,3.5,University of Colorado--Boulder,public,University of Colorado Boulder,1,7,0.7984,28565.0,0.6745,0.0166,0.1179,0.0564,0.0021,0.0007,0.0537,0.072,0.0062,0.0588,29215.0,12086.0,36220.0,19631.0,17025.0,11316.0,0.6951,20706.0,1625.0,1293.0
46,92,26.0,San Diego,92110,48.0,36861.0,CA,90,3.9,2.8,47708,3.5,University of San Diego,private,University of San Diego,1,8,0.4979,5677.0,0.5186,0.0363,0.1985,0.075,0.0026,0.0035,0.0588,0.0835,0.0231,0.0243,62710.0,47708.0,47708.0,29280.0,15507.0,12291.0,0.5362,34752.0,494.0,1302.0
48,95,23.0,New York,10033,46.0,34756.0,NY,94,3.5,2.3,42000,2.806829268292683,Yeshiva University,private,Yeshiva University,1,2,0.6282,2703.0,0.9393,0.0,0.0022,0.0,0.0004,0.0,0.0007,0.0522,0.0052,0.0211,58845.0,42000.0,42000.0,17638.0,17238.0,12238.0,0.4971,36306.0,208.0,1272.0
49,96,26.0,Rochester,14623,70.0,31793.0,NY,97,3.5465020576131687,3.1,40068,2.9,Rochester Institute of Technology,private,Rochester Institute of Technology,1,2,0.5672,12858.0,0.6644,0.048,0.0741,0.089,0.0018,0.0002,0.0371,0.0653,0.0201,0.0329,52423.0,40068.0,40068.0,21737.0,19578.0,10342.0,0.6842,29895.0,1918.0,1315.0
50,97,26.0,Stony Brook,11794,13.0,34024.0,NY,97,3.8,2.8343347639484984,26297,2.8,Stony Brook University--SUNY,public,Stony Brook University,1,2,0.4219,17215.0,0.3346,0.0679,0.1213,0.2424,0.0016,0.0008,0.0256,0.1434,0.0626,0.0651,23915.0,9257.0,26767.0,10752.0,22730.0,11275.0,0.6065,13770.0,1407.0,1322.0
55,104,24.0,Chicago,60660,64.0,38093.0,IL,103,3.7,3.0,42828,2.806829268292683,Loyola University Chicago,private,Loyola University Chicago,1,3,0.7059,11193.0,0.5532,0.055,0.1564,0.1196,0.0013,0.003,0.0425,0.054,0.0149,0.0577,56178.0,43078.0,43078.0,24812.0,12176.0,10443.0,0.5387,33036.0,1784.0,1258.0
57,106,22.0,Eugene,97403,7.0,42682.0,OR,103,3.6,3.1,34611,2.806829268292683,University of Oregon,public,University of Oregon,1,8,0.8281,19163.0,0.5824,0.0223,0.1199,0.057,0.0056,0.0035,0.0763,0.118,0.0148,0.0718,24570.0,11931.0,34611.0,16389.0,14187.0,9889.0,0.8005,15693.0,1150.0,1193.0
59,109,22.0,Washington,20059,50.0,33124.0,DC,110,3.5,2.7,25697,2.2,Howard University,private,Howard University,1,2,0.4142,6276.0,0.0132,0.8963,0.0072,0.0092,0.0005,0.003,0.0,0.0706,0.0,0.0343,41488.0,25697.0,25697.0,17474.0,23722.0,7161.0,0.7503,23424.0,607.0,1201.0
60,110,23.0,Tuscaloosa,35487,27.0,26861.0,AL,110,3.7,3.2,28100,2.5,University of Alabama,public,The University of Alabama,1,5,0.533,32387.0,0.7847,0.1005,0.0471,0.0116,0.0032,0.001,0.0317,0.0161,0.004,0.0792,28836.0,10780.0,28100.0,13574.0,10894.0,10016.0,0.7404,21973.0,1226.0,1278.0
63,114,22.0,Tempe,85287,31.0,37446.0,AZ,115,3.5,3.6,27372,3.3,Arizona State University--Tempe,public,Arizona State University Campus Immersion,10,6,0.8415,42181.0,0.5,0.0377,0.2067,0.0745,0.011,0.0021,0.0412,0.1218,0.0051,0.0841,24353.0,10792.0,27372.0,18995.0,12311.0,11348.0,0.789,11163.0,2827.0,1235.0
64,115,22.0,Ames,50011,34.0,27241.0,IA,115,3.6,3.0,22256,3.3,Iowa State University,public,Iowa State University,1,4,0.8934,29957.0,0.7432,0.0264,0.0535,0.0319,0.0019,0.0009,0.0229,0.0663,0.0532,0.0489,19878.0,8636.0,22472.0,10357.0,9702.0,10857.0,0.8369,14331.0,1992.0,1221.0
65,116,24.0,Philadelphia,19122,37.0,35109.0,PA,115,3.6,3.2,27266,2.2,Temple University,public,Temple University,1,2,0.5667,29007.0,0.5593,0.1261,0.0675,0.1164,0.0011,0.0008,0.0322,0.0654,0.0311,0.0862,31599.0,16658.0,28418.0,22122.0,13574.0,10798.0,0.5564,23366.0,2595.0,1050.0
66,117,23.0,Lawrence,66045,30.0,30962.0,KS,115,3.6,3.2,26592,2.7,University of Kansas,public,University of Kansas,1,4,0.9338,18903.0,0.7121,0.0426,0.0798,0.0477,0.0034,0.0006,0.0515,0.0566,0.0058,0.0982,24824.0,10824.0,26592.0,12206.0,18034.0,9976.0,0.8282,18814.0,1426.0,1230.0
67,118,24.0,St. Paul,55105,55.0,34299.0,MN,115,3.6,2.7,41133,3.1,University of St. Thomas,private,University of St Thomas,1,4,0.8416,6085.0,0.8007,0.0307,0.0506,0.0396,0.0015,0.0002,0.0337,0.0265,0.0166,0.0242,52586.0,41133.0,41133.0,20037.0,14324.0,10446.0,0.5267,30503.0,818.0,1267.0
70,121,24.0,Pittsburgh,15282,65.0,29185.0,PA,120,3.7,2.6,36394,2.806829268292683,Duquesne University,private,Duquesne University,1,2,0.717,5930.0,0.8034,0.0533,0.0351,0.0314,0.0007,0.0012,0.0288,0.0352,0.011,0.0179,50073.0,36394.0,36394.0,22070.0,11810.0,9159.0,0.5188,28961.0,1175.0,1221.0
71,122,23.0,Columbia,65211,33.0,27962.0,MO,120,3.5465020576131687,3.0,26506,2.5,University of Missouri,public,University of Missouri-Columbia,1,4,0.7809,23455.0,0.7843,0.075,0.0395,0.0254,0.0021,0.0004,0.0326,0.0341,0.0066,0.0564,25656.0,9787.0,26506.0,11279.0,12083.0,9334.0,0.7179,18602.0,1583.0,1249.0
72,123,24.0,Potsdam,13699,79.0,33669.0,NY,124,3.6,2.5,47950,2.6,Clarkson University,private,Clarkson University,1,2,0.6571,2991.0,0.8121,0.0231,0.0485,0.0351,0.0023,0.0,0.0318,0.0254,0.0217,0.004,63747.0,47950.0,47950.0,17637.0,14483.0,10756.0,0.7285,30563.0,599.0,1247.0
73,125,25.0,Houghton,49931,28.0,38217.0,MI,124,3.7,2.1,32318,2.8,Michigan Technological University,public,Michigan Technological University,1,3,0.7449,5829.0,0.8803,0.0093,0.0202,0.0148,0.0029,0.0007,0.0278,0.0242,0.0199,0.058,27537.0,15074.0,32318.0,14382.0,11585.0,10187.0,0.9053,15481.0,667.0,1277.0
74,126,23.0,South Orange,7079,35.27972027972028,33920.86713286713,NJ,124,3.6,2.8,40588,2.806829268292683,Seton Hall University,private,Seton Hall University,1,2,0.7316,5717.0,0.4903,0.0857,0.1789,0.1048,0.0012,0.0014,0.0404,0.0362,0.061,0.0297,53433.0,40588.0,40588.0,23079.0,10812.0,9493.0,0.9558,27563.0,815.0,1222.0
75,127,21.0,Tucson,85721,29.0,35051.0,AZ,124,3.5,3.7,32449,3.1,University of Arizona,public,University of Arizona,2,6,0.8358,33428.0,0.5034,0.0401,0.2671,0.054,0.0128,0.0028,0.0459,0.067,0.0069,0.125,26157.0,11877.0,35307.0,15765.0,12211.0,10929.0,0.7484,14821.0,1958.0,970.0
76,129,24.0,Dayton,45469,46.0,34204.0,OH,124,3.7,2.5,41750,2.2,University of Dayton,private,University of Dayton,1,3,0.7168,8422.0,0.7926,0.0278,0.0519,0.0138,0.0009,0.0007,0.0338,0.0704,0.0081,0.0424,56370.0,41750.0,41750.0,19321.0,12533.0,8687.0,0.6174,32721.0,1028.0,1254.0
78,131,24.0,Hempstead,11549,61.0,40205.0,NY,132,3.6,2.7,43960,3.0,Hofstra University,private,Hofstra University,1,2,0.6395,6783.0,0.5598,0.0851,0.1297,0.1045,0.0044,0.005,0.0267,0.0587,0.0261,0.0463,56910.0,43960.0,43960.0,26964.0,17048.0,13227.0,0.4338,32240.0,982.0,1237.0
79,133,25.0,Macon,31207,67.0,26615.0,GA,133,3.8,2.2,36000,3.0,Mercer University,private,Mercer University,1,5,0.7326,4708.0,0.4798,0.2927,0.0537,0.0697,0.0019,0.0013,0.0331,0.024,0.0438,0.1257,49848.0,36000.0,36000.0,17797.0,12442.0,8441.0,0.9569,20812.0,563.0,1285.0
81,135,23.02405498281787,Newark,7102,26.0,38949.0,NJ,133,3.5465020576131687,2.9,29480,2.806829268292683,Rutgers University--Newark,public,Rutgers University-Newark,3,2,0.6424,8122.0,0.2257,0.2001,0.289,0.1795,0.0007,0.0027,0.026,0.0543,0.022,0.1189,24719.0,14085.0,30026.0,17980.0,11571.0,13595.0,0.5645,13205.0,966.0,1086.0
82,136,23.0,Fayetteville,72701,16.0,33514.0,AR,133,3.7,3.2,24308,2.5,University of Arkansas,public,University of Arkansas,1,5,0.6596,22763.0,0.7619,0.0446,0.0877,0.0249,0.0092,0.0007,0.0361,0.0294,0.0054,0.1039,22122.0,9062.0,24308.0,9281.0,10173.0,9671.0,0.869,16069.0,1346.0,1239.0
86,141,23.0,San Diego,92182,32.0,31354.0,CA,140,3.7,2.9,19340,2.5,San Diego State University,public,San Diego State University,2,8,0.3542,29758.0,0.3374,0.0401,0.3111,0.1344,0.0036,0.0023,0.0671,0.0639,0.0402,0.1,21051.0,7460.0,19340.0,6887.0,6889.0,10605.0,0.5205,14030.0,1837.0,1206.0
87,142,24.0,Tampa,33620,25.0,23103.0,FL,140,3.9,2.5,17324,2.4,University of South Florida,public,University of South Florida,3,5,0.4536,30918.0,0.4839,0.1042,0.207,0.069,0.0018,0.0018,0.0396,0.0646,0.0281,0.2127,19868.0,6410.0,17324.0,7059.0,9671.0,10030.0,0.7691,11700.0,2107.0,1246.0
88,143,20.0,Pullman,99164,37.0,30666.0,WA,140,3.4,2.8,25817,2.8,Washington State University,public,Washington State University,4,8,0.7306,24797.0,0.6107,0.0324,0.1482,0.0601,0.0066,0.0042,0.0688,0.046,0.023,0.1088,25433.0,11391.0,25817.0,10066.0,16556.0,9792.0,0.7866,16314.0,2029.0,1127.0
89,144,22.0,Manhattan,66506,22.0,34621.0,KS,145,3.5,2.8,24775,2.7,Kansas State University,public,Kansas State University,1,4,0.9412,18171.0,0.783,0.0335,0.0706,0.0147,0.005,0.0009,0.0366,0.0464,0.0093,0.0836,23262.0,10135.0,25492.0,11305.0,12121.0,9055.0,0.8891,17926.0,1518.0,950.0
92,147,21.0,Chicago,60607,31.0,39033.0,IL,145,3.3,3.0,27672,2.8,University of Illinois--Chicago,public,University of Illinois Chicago,1,3,0.7708,19106.0,0.3008,0.0798,0.3305,0.2175,0.0006,0.0008,0.0299,0.0346,0.0054,0.0754,25407.0,13704.0,26560.0,12918.0,30165.0,11177.0,0.711,14000.0,2342.0,1150.0
94,149,25.0,Richardson,75080,28.0,37028.0,TX,145,3.5465020576131687,3.1,33654,2.6,University of Texas--Dallas,public,The University of Texas at Dallas,1,6,0.7603,18375.0,0.3423,0.0581,0.1831,0.3101,0.0019,0.002,0.0426,0.0395,0.0204,0.1687,24154.0,11528.0,29656.0,11493.0,10283.0,12831.0,0.7299,14763.0,1365.0,1340.0
98,154,22.0,Albany,12222,35.27972027972028,33920.86713286713,NY,151,3.2,2.8,24358,2.806829268292683,University at Albany--SUNY,public,SUNY at Albany,1,2,0.5401,13320.0,0.4501,0.1848,0.1712,0.0827,0.0019,0.0014,0.0314,0.0548,0.0219,0.0463,24742.0,9490.0,24370.0,7466.0,14648.0,9202.0,0.5668,18093.0,1828.0,1173.0
102,159,21.0,Normal,61790,35.27972027972028,33920.86713286713,IL,159,3.4,2.4,25168,2.806829268292683,Illinois State University,public,Illinois State University,1,3,0.8913,18264.0,0.7502,0.0861,0.104,0.0211,0.0016,0.0011,0.0286,0.0046,0.0027,0.0616,28197.0,14061.0,25168.0,11552.0,15761.0,7979.0,0.7675,21345.0,2496.0,1165.0
107,165,22.0,St Louis,63141,35.27972027972028,33920.86713286713,MO,165,3.6,2.8343347639484984,28470,2.806829268292683,Maryville University of St. Louis,private,Maryville University of Saint Louis,1,4,0.9188,3112.0,0.7224,0.0839,0.0386,0.0283,0.0029,0.0013,0.0283,0.0437,0.0508,0.2368,43329.0,28470.0,28470.0,13141.0,6296.0,8126.0,0.2204,23891.0,349.0,1176.0
109,167,22.0,Queens,11439,35.27972027972028,33920.86713286713,NY,165,3.5,2.5,40790,2.806829268292683,St. John's University,private,St. John's University-New York,1,2,0.6773,11756.0,0.3983,0.1722,0.0752,0.1604,0.0061,0.0038,0.0537,0.0517,0.0786,0.0216,51401.0,40520.0,40520.0,20692.0,11030.0,12336.0,0.4483,25747.0,2292.0,1171.0
111,171,23.02405498281787,Glassboro,8028,35.27972027972028,33920.86713286713,NJ,171,3.5,2.2,21378,3.3,Rowan University,public,Rowan University,1,2,0.6942,15089.0,0.6619,0.1021,0.1012,0.0452,0.0014,0.0011,0.0283,0.0075,0.0513,0.1001,28787.0,13422.0,21890.0,11610.0,13594.0,8812.0,0.4676,23692.0,1617.0,1164.0
126,192,19.0,Indianapolis,46202,35.27972027972028,33920.86713286713,IN,192,3.5,2.8343347639484984,29806,2.5,Indiana University-Purdue University--Indianapolis,public,Indiana University-Purdue University-Indianapolis,1,3,0.7965,20870.0,0.6956,0.0939,0.0748,0.0434,0.001,0.0007,0.0436,0.0416,0.0055,0.1645,20352.0,9334.0,29806.0,11325.0,16407.0,8369.0,0.5671,12021.0,2615.0,1104.0
132,205,21.0,Reno,89557,35.27972027972028,33920.86713286713,NV,202,3.6,2.3,21787,2.2,University of Nevada--Reno,public,University of Nevada-Reno,1,8,0.8803,17930.0,0.5759,0.033,0.2079,0.0789,0.0073,0.0057,0.0677,0.0095,0.0142,0.1331,21142.0,7599.0,21788.0,7137.0,14571.0,9979.0,0.9689,14505.0,1321.0,1165.0
134,209,21.0,Bozeman,59717,35.27972027972028,33920.86713286713,MT,207,3.4,2.3,23042,2.2,Montana State University,public,Montana State University,1,7,0.8311,14383.0,0.8456,0.0047,0.0416,0.0096,0.0136,0.0011,0.0431,0.0276,0.0131,0.1448,19980.0,7079.0,24071.0,10272.0,7962.0,8705.0,0.6134,17754.0,913.0,1195.0
